company_name,official_website,C3_score,C3_evidence,C4_score,C4_evidence,C5_score,C5_evidence,C6_score,C6_evidence,C7_score,C7_evidence,C8_score,C8_evidence,total_score,band,verdict,short_personalization_hook,decision_maker,revenue_estimate,primary_sources
"Electronics Corporation of India Ltd.","ecil.co.in",20,"Supplies crucial electronics for India's nuclear/defense institutions and is one of only two EVM suppliers.",13,"Led by MD Anurag Kumar and professional directors with deep technical expertise in atomic and defense sectors.",15,"Direct beneficiary of Make-in-India policies for defense, aerospace, and homeland security sectors.",15,"Revenue hit Rs 3,071 crore in FY24 (28% growth) backed by a massive Rs 5,200 crore unexecuted order book.",18,"Maintains CRISIL AA+/Stable rating with institutionalized PSU-level compliance and robust financial management systems.",12,"Professional board structure managed by PESB ensures institutional continuity and clear functional leadership portfolios.",93,"A","Include","Congratulations on crossing the Rs 3,000 crore revenue milestone in FY24 and securing a massive Rs 5,200 crore order book across defense and aerospace.","Anurag Kumar (Managing Director)","Rs 3,071 Crore","https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/ElectronicsCorporationofIndiaLimited_November%2025_%202025_RR_384192.html; https://telanganatoday.com/ecil-turnover-crosses-rs-3000-crore-in-2023-24"
"Biological E Ltd.","biologicale.com",20,"Holds WHO pre-qualifications for multiple vaccines (including recent nOPV2 phase II) and possesses proprietary mRNA and synthetic biology manufacturing capabilities.",15,"CSO Dr. Philip Dormitzer holds an MD/PhD from Stanford, and MD Mahima Datla leads with extensive global health and public policy expertise.",15,"Major supplier to UNICEF and WHO exporting to over 100 countries, directly benefiting from Make-in-India and global health vaccine procurement tailwinds.",15,"Achieved Rs 3,307 crore revenue in 2024, recently secured WHO phase II pre-qualification for nOPV2, and is expanding mRNA manufacturing capacity.",18,"Maintains high-level FDA and WHO-compliant integrated manufacturing infrastructure with robust pharmacovigilance and digital adverse event reporting systems.",15,"Highly professionalized C-suite with distinct portfolios, including specialized CEOs for domestic business and specialty generic injectables alongside the Managing Director.",98,"A","Include","Congratulations on the recent WHO phase II pre-qualification for your Novel Oral Polio Vaccine type 2 and supplying over 2 billion doses globally.","Mahima Datla (Managing Director)","Rs 3,307 Crore","https://www.biologicale.com/leadership.html; https://m.economictimes.com/industry/healthcare/biotech/pharmaceuticals/biological-e-receives-phase-ii-who-pre-qualification-for-oral-polio-vaccine/articleshow/128255777.cms; https://www.fortuneindia.com/companies/biological-e-ltd"
"NMDC Ltd.","nmdc.co.in",20,"Operates India's only mechanized diamond mine and highly mechanized 5-star rated iron ore mines with a UNIDO-recognized R&D Center.",13,"CMD Amitava Mukherjee, an IRAS officer and Cost Accountant, brings deep financial and public sector expertise to scale operations.",15,"An essential supplier for India's infrastructure boom and domestic steel industry, directly benefiting from Make in India tailwinds.",15,"Revenue jumped 12.4% to Rs 25,498 Crore in FY25, alongside achieving a historic 45 million tonnes production output.",20,"Features high digital maturity with SAP S/4 HANA, VIMS, DARPAN customer portal, and comprehensive ISO/EMS environmental certifications.",14,"Institutionalized Navratna PSU board with distinct professional portfolios for Technical, Production, Personnel, and Finance overseen by government mechanisms.",97,"A","Include","Congratulations on surpassing the historic 45 million tonnes production milestone and your visionary roadmap to reach 100 MTPA capacity by 2030.","Amitava Mukherjee (Chairman & Managing Director)","Rs 25,498 Crore","https://lemonn.co.in/stocks/nmdc/results/yearly; https://www.nmdc.co.in/about-nmdc/our-cmd; https://www.nmdc.co.in/sustainability/environment; https://www.nmdc.co.in/sustainability/governance"
"Sanzyme Pvt.","sanzyme.com",18,"Features EU GMP and PIC/s accredited facilities at Genome Valley, specializing in Gonadotropin APIs and finished formulations.",0,"no_evidence",12,"Offers global contract manufacturing services for fertility drugs and Gonadotropins, catering to international pharmaceutical export markets.",12,"Recognized as the largest manufacturer of Gonadotropins in India, with scalable capacity beyond ten million vials annually.",13,"Maintains integrated bio-analytical and microbiology quality testing laboratories alongside a sustainable zero-discharge manufacturing infrastructure.",0,"no_evidence",55,"C","Exclude","Your position as India's largest Gonadotropins manufacturer and the EU GMP accreditation of your Genome Valley facility is highly impressive.","unknown","unknown","https://www.sanzyme.com/about-us/"
"Neuland Laboratories Ltd.","neulandlabs.com",20,"Globally recognized CDMO with over 846 DMFs, specialized peptide synthesis capabilities, and major FDA/EDQM/PMDA approvals for complex active pharmaceutical ingredients.",15,"Chief Promoter Dr. Davuluri Rama Mohan Rao holds a PhD in organic chemistry from Notre Dame and an IIT Kharagpur diploma.",15,"Exports to over 80 countries as a trusted API and CDMO partner, strongly benefiting from China+1 supply chain diversification in pharmaceuticals.",15,"FY26 revenue reached Rs 2,053 crores (37% YoY growth) with a new digitalized commercial peptide manufacturing facility commissioning in 2026.",18,"Features highly digitalized operations utilizing DCS automation, electronic batch-record platforms, and strict cGMP compliance across FDA-inspected API manufacturing units.",15,"Seamless Gen-2 transition with sons Davuluri Sucheth Rao (Vice Chairman) and Davuluri Saharsh Rao (CEO & MD) leading alongside a professional C-suite.",98,"A","Include","Congratulations on achieving 37% revenue growth to Rs 2,053 crores in FY26 and your upcoming digitalized peptide manufacturing facility at Bonthapally.","Davuluri Saharsh Rao (CEO & Managing Director)","Rs 2,053 Crore","https://www.neulandlabs.com/en/about-us; https://en.wikipedia.org/wiki/Neuland_Laboratories"
"Mikroflo Filters Pvt.","mikroflo.com",16,"Supplies specialized state-of-the-art filters for India's Light Combat Aircraft (LCA) project as a monopoly supplier, backed by government-recognized R&D.",5,"Led by Director P. Sivakumar, though public details on advanced technical degrees or premium institutional background are limited.",14,"Directly benefits from Make-in-India tailwinds in aerospace and defense sectors as a critical component supplier for indigenous defense platforms.",10,"Generated approximately Rs 17.7 Crore in FY25 revenue with a 15% CAGR, maintaining steady SME growth.",8,"Holds foundational ISO 9001 certification and DSIR-recognized R&D facilities, though evidence of advanced ERP or digital manufacturing infrastructure is lacking.",4,"Operates as a smaller SME with roughly 20 employees; there is no clear public evidence of a formalized C-suite or succession planning.",57,"C","Exclude","Your position as the monopoly supplier of state-of-the-art filters for India's indigenous Light Combat Aircraft (LCA) project is highly impressive.","P Sivakumar (Director)","Rs 17.7 Crore","https://mikroflo.com/aviation-defence/; https://tracxn.com/d/legal-entities/india/mikro-flo-filters-private-limited/__ODTuyWKqDQKw4LETxineVI6iluO-2WUCl9t0TndT7VI"
"Ganga Kaveri Seeds Pvt. Ltd.","gangakaveri.in",17,"Utilizes marker-assisted backcross breeding and DNA profiling to develop proprietary disease-resistant hybrid seeds, supported by DSIR-recognized R&D facilities.",9,"Led by Promoter Vijender Reddy Muppidi with an experienced agricultural team, though lacking explicit public evidence of advanced technical or premium institutional degrees.",12,"Operates in the essential agricultural sector, directly supporting domestic food security and crop yield improvements through advanced hybrid seed varieties.",8,"Reported FY25 revenue of roughly Rs 140 crore, reflecting moderate operational scale despite recent flat growth and stretched working capital cycles.",10,"Maintains CRISIL BBB-/Stable ratings and institutional banking relationships, though explicit evidence of advanced ERP or digital manufacturing infrastructure remains limited.",12,"Demonstrates clear multi-generational family leadership and succession, with founders operating alongside Varun Reddy and Ronith Reddy on the board of directors.",68,"B","Include","I was impressed by your team's published research on marker-assisted breeding for bacterial blight resistance in hybrid rice and your commitment to domestic food security.","Vijender Reddy Muppidi (Director)","Rs 140 Crore","https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/GangaKaveriSeedsPrivateLimited_June%2011_%202024_RR_337926.html; https://www.cabidigitallibrary.org/doi/abs/10.5555/20193250814"
"Linkwell Telesystems(P) Ltd.","visiontek.co.in",16,"Manufactures Payment Card Industry and UIDAI-certified biometric authentication devices backed by DSIR-recognized R&D and 1 lakh sq. ft. of manufacturing facilities.",10,"Led by founder and Managing Director Krishna Prasad Anumolu, an experienced technocrat steering the company's hardware design and manufacturing since 1993.",15,"Directly aligned with 'Digital India' and 'Make in India' initiatives, exporting telecom and transaction terminals to over 35 countries globally.",14,"Reported robust FY25 revenues of Rs 986 crore with active manufacturing expansions in smart metering and biometric devices.",18,"Highly mature digital operations driven by Oracle EBS and Dassault eMatrix, coupled with rigorous CE product standards and ISO 9001/14001 certifications.",14,"Features a strongly professionalized leadership team with specialized directors independently overseeing MIS, Business Development, Manufacturing, and Data Products.",87,"A","Include","Congratulations on achieving an impressive Rs 986 crore in revenue for FY25 and your continuous alignment with the 'Make in India' and 'Digital India' initiatives.","Krishna Prasad Anumolu (Managing Director)","Rs 986 Crore","https://visiontek.co.in/about-us/; https://tracxn.com/d/legal-entities/india/linkwell-telesystems-private-limited/__ewu73GZQ1LKDYYCeSMsM4lhWCxEMUmw2QyUaAXkRNB0; https://www.scribd.com/document/898747420/1394433178visiontek-Mobilemoney-Ppt-2014-Copy"
"SOMPhytopharma (India) Ltd.","somphytopharma.com",20,"Holds 34 unique microbial strains with international patent depository certificates under the Budapest Treaty, backed by a DSIR-recognized R&D laboratory.",15,"Led by MD Dr. Venkatesh Devanur, a PhD and 40-year industry veteran who serves as Secretary of BIPA and VP of World Neem Organisation.",15,"Directly benefits from domestic organic farming subsidies and strong global export demand for bio-pesticides and sustainable agricultural inputs.",12,"Reported FY24 revenue of roughly Rs 17.5 crore with an 11% CAGR, while actively expanding its organic product portfolio globally.",10,"Features a government-accredited laboratory and organic input certifications, though explicit public evidence of advanced ERP or digital manufacturing platforms is limited.",12,"Demonstrates clear multi-generational family leadership with board members like Gargeyee Venkatesh Iyengar Devanur and Venkatesh Athreya Devanur alongside the founders.",84,"A","Include","I was highly impressed by your portfolio of 34 unique microbial strains recognized under the Budapest Treaty and your visionary leadership in sustainable agriculture.","Dr. Venkatesh Devanur (Managing Director)","Rs 17.5 Crore","https://www.somphytopharma.com/about; https://tracxn.com/d/legal-entities/india/som-phytopharma-india-limited/__nIwcNMprQcdPlL9FjLHrZjubFexD66CqHFRK0A0jZYI; https://bipaindia.org/founding-team.php"
"Zen Technologies Ltd.","zentechnologies.com",20,"Holds over 160 global patents with recent CII Best Patent Portfolio Award, specializing in advanced combat training simulators and anti-drone systems.",13,"Led by CMD Ashok Atluri and newly appointed CTO Dr. Sreenivas Rao (former DRDO Director General), bringing profound defense tech expertise.",15,"Direct beneficiary of India's defense indigenization and Make-in-India policies, supplying critical combat training and counter-drone systems.",15,"FY26 revenue surged to Rs 687.69 crore alongside a massive Rs 1,336 crore order book extending into FY27 execution.",18,"Demonstrates exceptional maturity with CMMI Maturity Level 5, ISO/IEC 27001, and aerospace AS9100D certifications for its defense systems.",13,"Institutionalized leadership with distinct functional directors, independent board committees, and strategic appointments like the recent CTO for scaling operations.",94,"A","Include","Congratulations on the impressive FY26 revenue of Rs 687 crore and your continued success with a massive Rs 1,336 crore order book.","Ashok Atluri (Chairman & Managing Director)","Rs 687.69 Crore","https://www.zentechnologies.com/about-us; https://www.multibagg.ai/market-pulse/articles/zen-technologies-fy26-results-dividend-cmonnyg3lpccbp50j3dvbgl87; https://insights.greyb.com/zen-technologies-patents/"
