company_name,company_address,recognition_number,valid_upto,official_website,is_valid_company,E1,E1_reason,E2,E2_reason,verification_note,source_or_evidence
Electronics Corporation of India Ltd.,"ECIL Post, Hyderabad -500 062,(Telangana)",TU/IV-RD/53,31.03.2027,ecil.co.in,Yes,Yes,Manufactures proprietary electronic and defense products.,Yes,HQ is located in Hyderabad India.,Active Public Sector Undertaking,Government/Public Records
Elico Ltd.,"B-90, APIE, Sanath Nagar, Hyderabad-500 018 (Telangana)",TU/IV-RD/104,31.03.2027,elico.co,Yes,Yes,Manufactures analytical instruments.,Yes,Primary operations in Hyderabad India.,Active business entity,Corporate Registry
Biological E Ltd.,"18/1 & 3, Azamabad Hyderabad-500 020 Telangana",TU/IV-RD/315,31.03.2026,biologicale.com,Yes,Yes,Manufactures vaccines and biological products in-house.,Yes,HQ is located in Hyderabad India.,Active and prominent pharmaceutical company,Corporate Registry
Bharat DynamicsLtd.,"Kanchanbagh, Hyderabad-500 058 Telangana",TU/IV-RD/386,31.03.2026,bdl-india.in,Yes,Yes,Produces missile systems and defense equipment.,Yes,HQ is located in Hyderabad India.,Active Public Sector Undertaking,Government/Public Records
NMDC Ltd.,"10-3-311/A,KhanijBhavan,Castle Hills,MasabTank,Hyderabad-500028",TU/IV-RD/408,31.03.2028,nmdc.co.in,Yes,Yes,Engaged in the mining and production of iron ore.,Yes,HQ is located in Hyderabad India.,Active Public Sector Undertaking,Government/Public Records
HILLtd.,"Office NO. 1 & 2, L7 Floor, SLN Terminus, Survey no. 133, Near BotanicalGarden, Gachibowli, Hyderabad-500 032, Telangana",TU/IV-RD/750,31.03.2027,hil.in,Yes,Yes,Manufactures building materials and related products.,Yes,HQ is located in Hyderabad India.,Active (Formerly Hyderabad Industries Limited),Corporate Registry
Sanzyme Pvt.,"Ltd. Plot 2nd Floor, Sattava Signature Tower, #8-2-472/1/A/B/SF-3, Road No.1, Banjara Hills Hyderabad – 500 034(Telangana)",TU/IV-RD/1281,31.03.2028,sanzyme.com,Yes,Yes,Manufactures probiotics and pharmaceutical products in-house.,Yes,HQ is located in Hyderabad India.,Active pharmaceutical/biotech company,Corporate Registry
LamcoIndustriesPvt.,"Ltd. B-39&B-40,IndustrialEstate, Sanathnagar, Hyderabad-500 018 (Telangana)",TU/IV-RD/1369,31.03.2027,lamcoindia.com,Yes,Yes,Manufactures electrical products like lightning arresters.,Yes,Operations are located in Hyderabad India.,Active manufacturing company,Corporate Registry
Neuland Laboratories Ltd.,"11th Floor (5th Level), Phoenix IVY Building, Plot No. 573A-III, Road No. 82, Jubilee Hills, Hyderabad-500033 (Telangana)",TU/IV-RD/1669,31.03.2028,neulandlabs.com,Yes,Yes,Independent API manufacturer with strong proprietary R&D.,Yes,HQ is located in Hyderabad India.,Active API manufacturing company,Corporate Registry / BSE Listing
Divi's Laboratories Ltd.,"1-72/23 (P)/DIVIS/303,DiviTowers,Cyber Hills,Gachibowli,Hyderaba d,Telangana-500 032",TU/IV-RD/1679,31.03.2027,divislabs.com,Yes,Yes,Major independent manufacturer of active pharmaceutical ingredients.,Yes,HQ is located in Hyderabad India.,Active pharmaceutical company,Corporate Registry / BSE Listing
Mikroflo Filters Pvt.,"Ltd.H. No. 16-11-511/D/399,ShalivahanaNagar, Moosarambagh, Hyderabad-500036,(Telangana)",TU/IV-RD/1728,31.03.2028,mikroflo.com,Yes,Yes,Manufactures industrial filters and filtration systems.,Yes,Operations are located in Hyderabad India.,Active industrial manufacturing company,Corporate Registry
Premier Explosives Ltd.,"Premier House,#11, Ishaq Colony, (Near AOCCentre) Secunderabad - 500 015,Telangana",TU/IV-RD/1759,31.03.2025,pelgel.com,Yes,Yes,Manufactures specialized explosives and solid propellants.,Yes,HQ is located in Secunderabad India.,Active defense/explosives manufacturer,Corporate Registry / BSE Listing
Ganga Kaveri Seeds Pvt.,"Ltd. 1406, 14th floor, Babukhan Estate,Bashir Bagh, Hyderabad-500 001, Telangana.",TU/IV-RD/1811,31.03.2027,gangakaveri.in,Yes,Yes,Produces proprietary agricultural seeds through in-house R&D.,Yes,Operations are located in Hyderabad India.,Active agricultural seeds company,Corporate Registry
SriKrishnaPharmaceuticals Ltd.,"C-4, Industrial Area, Uppal Hyderabad -500039, Telangana",TU/IV-RD/1840,31.03.2027,srikrishnapharma.com,Yes,Yes,Generic pharma with clear independent in-house API manufacturing.,Yes,Operations are located in Hyderabad India.,Active pharmaceutical company,Corporate Registry
Linkwell Telesystems(P) Ltd.,"1-11-252/1B,Behind Shopper’s Stop, Begumpet, Hyderabad - 500 016, (Telangana)",TU/IV-RD/1853,31.03.2028,visiontek.co.in,Yes,Yes,Manufactures telecom and networking hardware devices.,Yes,HQ is located in Hyderabad India.,Active telecom/hardware company (Operates as Visiontek),Corporate Registry
Hetero Drugs Ltd.,"7-2-A2, Hetero Corporate, Industrial Estate, Sanath Nagar, Hyderabad -500018, (Telangana)",TU/IV-RD/1895,31.03.2028,hetero.com,Yes,Yes,Generic pharma but possesses massive independent in-house manufacturing capabilities.,Yes,HQ is located in Hyderabad India.,Active pharmaceutical company,Corporate Registry
SOMPhytopharma (India) Ltd.,"RADOSOM, Plot No. 154/A5, S.V. Co-operativeIndustrial Estate, IDA Bollaram.-502 325, Sangareddy Dist, (Telangana)",TU/IV-RD/1946,31.03.2027,somphytopharma.com,Yes,Yes,Manufactures phytochemical and biotech products in-house.,Yes,Operations are located in Sangareddy Telangana India.,Active biotech/pharma company,Corporate Registry
BharatBio-tech International Ltd.,"Sy. No. 230, 231, & 235,GenomeValley,TurkapallyVillageShameerpet Mandal, Ranga Reddy Distt., Hyderabad-500078,(Telangana)",TU/IV-RD/1993,31.03.2028,bharatbiotech.com,Yes,Yes,Develops and manufactures proprietary vaccines and bio-therapeutics.,Yes,HQ is located in Hyderabad India.,Active vaccine and biotech company,Corporate Registry
Zen Technologies Ltd.,"B-42, Indl. Estate, Sanath Nagar, Hyderabad 500018, Telangana",TU/IV-RD/2043,31.03.2026,zentechnologies.com,Yes,Yes,Designs and manufactures proprietary defense training simulators.,Yes,HQ is located in Hyderabad India.,Active defense training solutions company,Corporate Registry / BSE Listing
NACLIndustriesLtd.,"Plot No 12-A, C-Block, Lakshmi Towers, No. 8-2-248/1/7/78,Nagarjuna Hills,Punjagutta, Hyderabad-500082, (Telangana)",TU/IV-RD/2094,31.03.2028,naclind.com,Yes,Yes,Manufactures agrochemicals and crop protection products in-house.,Yes,HQ is located in Hyderabad India.,Active agrochemical company,Corporate Registry / BSE Listing
JK Agri Genetics Ltd.,"1-10-177, 4th Floor, Varun Towers, Begumpet Hyderabad - 500 016, (Telangana)",TU/IV-RD/2443,31.03.2026,jkseeds.net,Yes,Yes,Develops and produces proprietary agricultural seeds in-house.,Yes,HQ is located in Hyderabad India.,Active agricultural seeds company,Corporate Registry / BSE Listing
Nichino India Pvt.,"Ltd.A-24/25,A.P.I.E.,Balanagar Hyderabad –500 037, (Telangana)",TU/IV-RD/2447,31.03.2028,nichinoindia.com,Yes,Yes,Manufactures agrochemicals with clear in-house manufacturing capabilities.,Yes,Operations are located in Hyderabad India.,Active agrochemical company,Corporate Registry
Medha Servo Drives Pvt.,"Ltd. 2-3-2/A, Behind Mint Compound, Cherlapally, R R Dist. Hyderabad-500 051,(Telangana)",TU/IV-RD/2472,31.03.2028,medha.com,Yes,Yes,Designs and manufactures proprietary railway technology and electronics.,Yes,HQ is located in Hyderabad India.,Active railway technology and electronics company,Corporate Registry
SMS Pharmaceuticals Ltd.,"Plot No. 72, H. No. 8-2-334/3&4, Road No. 5,Opp. SBI Executive Enclave, Banjara Hills, Hyderabad - 500 034,(Telangana)",TU/IV-RD/2477,31.03.2028,smspharma.com,Yes,Yes,Independent manufacturer of active pharmaceutical ingredients.,Yes,HQ is located in Hyderabad India.,Active pharmaceutical company,Corporate Registry / BSE Listing
Bhagiradha Chemicals & Industries Ltd.,"Plot No. 3, Sagar Society, Road No.2, Banjara Hills, Hyderabad - 500 034(Telangana)",TU/IV-RD/2515,31.03.2026,bhagirad.com,Yes,Yes,Manufactures high-quality agrochemicals through in-house production.,Yes,HQ is located in Hyderabad India.,Active agrochemical company,Corporate Registry / BSE Listing
Nosch Labs Pvt.,"Ltd. Flat No.404 to 406, 'Vijay SaiTowers'Opp. BJP Office, Kukatpally,Hyderabad- 500 072, Telangana",TU/IV-RD/2566,31.03.2026,noschlabs.net,Yes,Yes,Independent manufacturer of active pharmaceutical ingredients.,Yes,HQ is located in Hyderabad India.,Active pharmaceutical company,Corporate Registry
Unique Biotech Ltd.,"Plot No. 2, Phase-II, M N Park,Kolthur,Shameerpet Mandal, Medchal-Malkajgiri Dist.Hyderabad-500 101, Telangana",TU/IV-RD/2572,31.03.2027,uniquebiotech.com,Yes,Yes,Manufactures proprietary probiotic strains and products in-house.,Yes,Operations are located in Hyderabad India.,Active biotechnology (probiotics) company,Corporate Registry
KN Biosciences (India) Pvt.,"Ltd. Plot No. 28, UshodayaEnclave, Madinaguda, Miyapur, Hyderabad-500 050, Telangana",TU/IV-RD/2644,31.03.2026,knbiosciences.in,Yes,Yes,Develops and manufactures proprietary bio-fertilizers and bio-pesticides.,Yes,Operations are located in Hyderabad India.,Active biotechnology and agriculture company,Corporate Registry
Relisys Medical Devices Ltd.,"Survey No. 312, PocharamRoad,Mangalapally Village, Ibrahimpatnam Mandal, Rangareddy - 501 510,(Telangana)",TU/IV-RD/2741,31.03.2027,relisys.in,Yes,Yes,Manufactures proprietary medical devices and stents in-house.,Yes,Operations are located in Hyderabad India.,Active medical devices manufacturer,Corporate Registry
Fleming Laboratories Ltd.,"Plot No. 131, Ground Floor, Green Park Avenue, Behind Hotel Surabhi Pride (Near SuchitraJunction), Jeedimetla, Hyderabad-500 067 (Telangana)",TU/IV-RD/2769,31.03.2027,fleminglabs.com,Yes,Yes,Independent manufacturer of active pharmaceutical ingredients.,Yes,Operations are located in Hyderabad India.,Active pharmaceutical company,Corporate Registry
Vasant Chemicals Pvt.,"Ltd. 4th Floor, Vasant Towers,Begumpet, Hyderabad - 500 016,Telangana",TU/IV-RD/2805,31.03.2026,vasantchemicals.com,Yes,Yes,Manufactures proprietary specialty chemicals in-house.,Yes,HQ is located in Hyderabad India.,Active specialty chemicals manufacturing company,Corporate Registry
MSN Laboratories Pvt.,"Ltd. MSN House, Plot No. C-24, Sanath Nagar, Industrial Estate, Sanath Nagar, Hyderabad – 500 018 (Telangana)",TU/IV-RD/2903,31.03.2027,msnlabs.com,Yes,Yes,Independent manufacturer of active pharmaceutical ingredients and formulations.,Yes,HQ is located in Hyderabad India.,Active pharmaceutical company,Corporate Registry
Kurnool Seeds (P) Ltd.,"#1-5-1055/87/55,N/RHMTColony,Jonnabanda,Alwal, GHMC Circle Malkajgiri,Hyderabad-500010 (Telangana)",TU/IV-RD/3461,31.03.2027,kurnoolseeds.in,Yes,Yes,Develops and produces proprietary agricultural seeds in-house.,Yes,Operations are located in Hyderabad India.,Active agricultural seeds company,Corporate Registry
AG Bio Systems Pvt.,"Ltd. Plot No. 35 E, IDA Phase V, Cheralapally,Hyderabad, Telangana-500 051.",TU/IV-RD/3463,31.03.2027,agbiosystems.com,Yes,Yes,Develops and produces proprietary agricultural biotech products in-house.,Yes,Operations are located in Hyderabad India.,Active agricultural biotechnology company,Corporate Registry
Varsha Bioscience and Technology India Pvt.,"Ltd. Floor 3, No: 17-1-383/36/2, 2nd Main Road, Vinaynagar, Saidabad, Hyderabad-500 059,Telangana",TU/IV-RD/3602,31.03.2026,varshabioscience.com,Yes,Yes,Manufactures proprietary agricultural biotechnology products in-house.,Yes,Operations are located in Hyderabad India.,Active agricultural biotechnology company,Corporate Registry
Metrochem API Pvt.,"Ltd. Flat No. 302, Bhanu Enclave, Sunder Nagar, Erragadda, Hyderabad-500 038, (Telangana)",TU/IV-RD/3646,31.03.2028,metroapi.com,Yes,Yes,Independent manufacturer of active pharmaceutical ingredients in-house.,Yes,Operations are located in Hyderabad India.,Active pharmaceutical API company,Corporate Registry
Trimurti Plant Sciences Pvt.,"Ltd.101,MGREstates,DwarakapuriColony,Punjagutta,Hyderabad-500082, (Telangana)",TU/IV-RD/3675,31.03.2027,trimurtiseeds.com,Yes,Yes,Develops and produces proprietary agricultural seeds in-house.,Yes,Operations are located in Hyderabad India.,Active agricultural plant sciences company,Corporate Registry
Alphamed Formulations Pvt.,"Ltd. Survey No. 225, Sampanbole Village, Shamirpet Mandal, RangaReddy District - 500 078,Telangana",TU/IV-RD/3686,31.03.2025,alphamed.in,Yes,Yes,Independent manufacturer of specialized pharmaceutical formulations.,Yes,Operations are located in Hyderabad India.,Active pharmaceutical formulations company,Corporate Registry
Eldorado Agritech Pvt.,"Ltd. Plot No. A11 & A12/1, IDA Nacharam, Ranga Reddy District, Hyderabad - 500 076,(Telangana)",TU/IV-RD/3714,31.03.2028,eldoradoagritech.com,Yes,Yes,Develops and produces agricultural biotechnology products in-house.,Yes,Operations are located in Hyderabad India.,Active agricultural biotechnology company,Corporate Registry
Spansules Pharmatech Pvt.,"Ltd. Plot No. 59, G-3, Sri Venkateswara Towers, Bhagyanagar Colony, Opp. KPHB, Kukatpally, Hyderabad -500 072 (Telangana)",TU/IV-RD/3815,31.03.2028,spansules.com,Yes,Yes,Independent manufacturer of specialized pharmaceutical formulations and pellets.,Yes,Operations are located in Hyderabad India.,Active pharmaceutical formulation company,Corporate Registry
Eesavyasa TechnologiesPvt.,"Ltd. Shed No.79, Phase III, SVCIE,Balanagar, Hyderabad-500037,Telangana",TU/IV-RD/3880,31.03.2026,eesavyasa.com,Yes,Yes,Develops and manufactures proprietary engineering and technology products.,Yes,Operations are located in Hyderabad India.,Active R&D and engineering company,Corporate Registry
ClearsynthLabsLtd.,"Shed No. 23, Survey NO.125 Part, Road No. 14, Phase-1,IDAMallapur, Medchal-Malkajgiri District, Hyderabad - 500076 (Telangana)",TU/IV-RD/3897,31.03.2027,clearsynth.com,Yes,Yes,Manufactures proprietary chemical reference standards and related catalog products.,Yes,Operations are located in Hyderabad India.,Active chemical reference standards company,Corporate Registry
Hetero Labs Ltd.,"Hetero Corporate,7-2-A2 Industrial Estate, Sanath Nagar Hyderabad – 500 018, (Telangana)",TU/IV-RD/3922,31.03.2027,hetero.com,Yes,Yes,Generic pharma with massive independent in-house manufacturing and R&D capabilities.,Yes,HQ is located in Hyderabad India.,Active global pharmaceutical company,Corporate Registry
Nucon Aerospace Pvt.,"Ltd. 1st Floor, Plot No. 708/709, Matrusri Nagar, Miyapur, Hyderabad –500 049, (Telangana)",TU/IV-RD/3930,31.03.2027,nuconaerospace.com,Yes,Yes,Designs and manufactures proprietary aerospace and defense systems in-house.,Yes,Operations are located in Hyderabad India.,Active aerospace and defense systems company,Corporate Registry
Sanzyme Biologics Pvt.,"Ltd. Plot No. 13, Sagar Society Road No. 2, Banjara Hills Hyderabad –500 034 (Telangana)",TU/IV-RD/4302,31.03.2025,sanzymebiologics.com,Yes,Yes,Manufactures proprietary probiotics and biotechnology products in-house.,Yes,HQ is located in Hyderabad India.,Active biotechnology company,Corporate Registry
Crenza Pharmaceuticals Pvt.,"Ltd. A-27P, APIE,Balanagar, Hyderabad – 500 037, Telangana",TU/IV-RD/4320,31.03.2026,crenzapharma.com,Yes,Yes,Independent manufacturer of specialized pharmaceutical formulations and APIs.,Yes,Operations are located in Hyderabad India.,Active pharmaceutical R&D company,Corporate Registry
