company_name,official_website,E1,E1_reason,E2,E2_reason
Electronics Corporation of India Ltd.,ecil.co.in,Yes,Manufactures proprietary electronic and defense products.,Yes,HQ is located in Hyderabad India.
Elico Ltd.,elico.co,Yes,Manufactures analytical instruments.,Yes,Primary operations in Hyderabad India.
Biological E Ltd.,biologicale.com,Yes,Manufactures vaccines and biological products in-house.,Yes,HQ is located in Hyderabad India.
Bharat DynamicsLtd.,bdl-india.in,Yes,Produces missile systems and defense equipment.,Yes,HQ is located in Hyderabad India.
NMDC Ltd.,nmdc.co.in,Yes,Engaged in the mining and production of iron ore.,Yes,HQ is located in Hyderabad India.
HILLtd.,hil.in,Yes,Manufactures building materials and related products.,Yes,HQ is located in Hyderabad India.
Sanzyme Pvt.,sanzyme.com,Yes,Manufactures probiotics and pharmaceutical products in-house.,Yes,HQ is located in Hyderabad India.
LamcoIndustriesPvt.,lamcoindia.com,Yes,Manufactures electrical products like lightning arresters.,Yes,Operations are located in Hyderabad India.
Neuland Laboratories Ltd.,neulandlabs.com,Yes,Independent API manufacturer with strong proprietary R&D.,Yes,HQ is located in Hyderabad India.
Divi's Laboratories Ltd.,divislabs.com,Yes,Major independent manufacturer of active pharmaceutical ingredients.,Yes,HQ is located in Hyderabad India.
Mikroflo Filters Pvt.,mikroflo.com,Yes,Manufactures industrial filters and filtration systems.,Yes,Operations are located in Hyderabad India.
Premier Explosives Ltd.,pelgel.com,Yes,Manufactures specialized explosives and solid propellants.,Yes,HQ is located in Secunderabad India.
Ganga Kaveri Seeds Pvt.,gangakaveri.in,Yes,Produces proprietary agricultural seeds through in-house R&D.,Yes,Operations are located in Hyderabad India.
SriKrishnaPharmaceuticals Ltd.,srikrishnapharma.com,Yes,Generic pharma with clear independent in-house API manufacturing.,Yes,Operations are located in Hyderabad India.
Linkwell Telesystems(P) Ltd.,visiontek.co.in,Yes,Manufactures telecom and networking hardware devices.,Yes,HQ is located in Hyderabad India.
Hetero Drugs Ltd.,hetero.com,Yes,Generic pharma but possesses massive independent in-house manufacturing capabilities.,Yes,HQ is located in Hyderabad India.
SOMPhytopharma (India) Ltd.,somphytopharma.com,Yes,Manufactures phytochemical and biotech products in-house.,Yes,Operations are located in Sangareddy Telangana India.
BharatBio-tech International Ltd.,bharatbiotech.com,Yes,Develops and manufactures proprietary vaccines and bio-therapeutics.,Yes,HQ is located in Hyderabad India.
Zen Technologies Ltd.,zentechnologies.com,Yes,Designs and manufactures proprietary defense training simulators.,Yes,HQ is located in Hyderabad India.
NACLIndustriesLtd.,naclind.com,Yes,Manufactures agrochemicals and crop protection products in-house.,Yes,HQ is located in Hyderabad India.
JK Agri Genetics Ltd.,jkseeds.net,Yes,Develops and produces proprietary agricultural seeds in-house.,Yes,HQ is located in Hyderabad India.
Nichino India Pvt.,nichinoindia.com,Yes,Manufactures agrochemicals with clear in-house manufacturing capabilities.,Yes,Operations are located in Hyderabad India.
Medha Servo Drives Pvt.,medha.com,Yes,Designs and manufactures proprietary railway technology and electronics.,Yes,HQ is located in Hyderabad India.
SMS Pharmaceuticals Ltd.,smspharma.com,Yes,Independent manufacturer of active pharmaceutical ingredients.,Yes,HQ is located in Hyderabad India.
Bhagiradha Chemicals & Industries Ltd.,bhagirad.com,Yes,Manufactures high-quality agrochemicals through in-house production.,Yes,HQ is located in Hyderabad India.
Bioserve Biotechnologies(India) Pvt.,reprocell.com,No,Acquired subsidiary providing service-based genomic and CRO services.,Yes,Operations are located in Hyderabad India.
Nosch Labs Pvt.,noschlabs.net,Yes,Independent manufacturer of active pharmaceutical ingredients.,Yes,HQ is located in Hyderabad India.
Unique Biotech Ltd.,uniquebiotech.com,Yes,Manufactures proprietary probiotic strains and products in-house.,Yes,Operations are located in Hyderabad India.
Nektar Therapeutics (India) Pvt.,nektar.com,No,Operates as a captive R&D facility for its global parent company.,Yes,Operations are located in Hyderabad India.
KN Biosciences (India) Pvt.,knbiosciences.in,Yes,Develops and manufactures proprietary bio-fertilizers and bio-pesticides.,Yes,Operations are located in Hyderabad India.
Mylan Laboratories Ltd.,viatris.com,No,Subsidiary of a global pharmaceutical giant focusing on generic medications.,Yes,Major operations are located in Hyderabad India.
Vivo Bio Tech Ltd.,vivobio.com,No,Operates primarily as a contract research organization without proprietary products.,Yes,HQ is located in Hyderabad India.
Relisys Medical Devices Ltd.,relisys.in,Yes,Manufactures proprietary medical devices and stents in-house.,Yes,Operations are located in Hyderabad India.
Fleming Laboratories Ltd.,fleminglabs.com,Yes,Independent manufacturer of active pharmaceutical ingredients.,Yes,Operations are located in Hyderabad India.
Limagrain India Pvt.,limagrain.com,No,Subsidiary of a global agricultural group relying on parent genetics.,Yes,Operations are located in Secunderabad India.
Vasant Chemicals Pvt.,vasantchemicals.com,Yes,Manufactures proprietary specialty chemicals in-house.,Yes,HQ is located in Hyderabad India.
Vimta Labs Ltd.,vimta.com,No,Operates strictly as a testing laboratory and contract research organization.,Yes,HQ is located in Hyderabad India.
MSN Laboratories Pvt.,msnlabs.com,Yes,Independent manufacturer of active pharmaceutical ingredients and formulations.,Yes,HQ is located in Hyderabad India.
Corteva Agriscience Seeds Pvt.,corteva.in,No,Subsidiary of a global agricultural company lacking independent local products.,Yes,Operations are located in Hyderabad India.
Aizant Drug Research Solutions Pvt.,aizant.com,No,Operates exclusively as a contract research organization providing clinical services.,Yes,Operations are located in Hyderabad India.
Kurnool Seeds (P) Ltd.,kurnoolseeds.in,Yes,Develops and produces proprietary agricultural seeds in-house.,Yes,Operations are located in Hyderabad India.
AG Bio Systems Pvt.,agbiosystems.com,Yes,Develops and produces proprietary agricultural biotech products in-house.,Yes,Operations are located in Hyderabad India.
RCC Laboratories India Pvt.,rcclabs.in,No,Operates as a service-only contract research organization.,Yes,Operations are located in Hyderabad India.
Varsha Bioscience and Technology India Pvt.,varshabioscience.com,Yes,Manufactures proprietary agricultural biotechnology products in-house.,Yes,Operations are located in Hyderabad India.
Metrochem API Pvt.,metroapi.com,Yes,Independent manufacturer of active pharmaceutical ingredients in-house.,Yes,Operations are located in Hyderabad India.
HM Clause (India) Pvt.,hmclause.com,No,Subsidiary of a global agricultural seed group relying on parent genetics.,Yes,Operations are located in Hyderabad India.
Trimurti Plant Sciences Pvt.,trimurtiseeds.com,Yes,Develops and produces proprietary agricultural seeds in-house.,Yes,Operations are located in Hyderabad India.
Alphamed Formulations Pvt.,alphamed.in,Yes,Independent manufacturer of specialized pharmaceutical formulations.,Yes,Operations are located in Hyderabad India.
Eldorado Agritech Pvt.,eldoradoagritech.com,Yes,Develops and produces agricultural biotechnology products in-house.,Yes,Operations are located in Hyderabad India.
Palamur Biosciences Pvt.,palamurbio.com,No,Operates as a preclinical contract research organization without proprietary products.,Yes,Operations are located in Secunderabad India.
UnitedStates Pharmacopeia India Pvt.,usp.org,No,Global standards organization and testing lab without proprietary commercial manufacturing.,Yes,Operations are located in Hyderabad India.
Cohance Lifesciences Ltd.,cohance.com,No,PE-backed contract development and manufacturing organization lacking independent proprietary products.,Yes,Operations are located in Hyderabad India.
Spansules Pharmatech Pvt.,spansules.com,Yes,Independent manufacturer of specialized pharmaceutical formulations and pellets.,Yes,Operations are located in Hyderabad India.
